"subj"	"ID"	"targ"	"scor"	"pval"	"eval"
"epm_sbic_S0_Leaf_p1m04F_1042"	"MA0564.1"	"ABI3"	"1.92589431684595"	"0.00017070989518376"	"0.203486195059042"
"epm_sbic_S0_Leaf_p1m04R_1042"	"MA0564.1"	"ABI3"	"1.92589431684595"	"0.000170709895183754"	"0.203486195059035"
"epm_sbic_S0_Leaf_p1m06F_754"	"MA0123.1"	"abi4"	"1.84945127002291"	"0.00410668604065212"	"4.89516976045733"
"epm_sbic_S0_Leaf_p1m06R_754"	"MA0123.1"	"abi4"	"1.84945127002291"	"0.00410668604065212"	"4.89516976045733"
"epm_sbic_S0_Leaf_p0m15F_184"	"MA1689.1"	"ARF18"	"1.84382734136496"	"0.0049436383598731"	"5.89281692496874"
"epm_sbic_S0_Leaf_p0m15R_184"	"MA1689.1"	"ARF18"	"1.84382734136496"	"0.0049436383598731"	"5.89281692496874"
"epm_sbic_S0_Leaf_p1m13R_118"	"MA1263.1"	"AT1G36060"	"1.84849131470421"	"0.00424053378726799"	"5.05471627442344"
"epm_sbic_S0_Leaf_p1m13F_118"	"MA1263.1"	"AT1G36060"	"1.84849131470421"	"0.00424053378726799"	"5.05471627442344"
"epm_sbic_S0_Leaf_p1m11F_372"	"MA1268.1"	"AT1G69570"	"1.88905839401514"	"0.000932111825299327"	"1.1110772957568"
"epm_sbic_S0_Leaf_p1m11R_372"	"MA1268.1"	"AT1G69570"	"1.88905839401514"	"0.000932111825299314"	"1.11107729575678"
