"subj"	"ID"	"targ"	"scor"	"pval"	"eval"
"epm_zea_S0_Leaf_p0m20F_113"	"MA1659.1"	"ABF4"	"1.82988745446647"	"0.00764097397730498"	"9.23029656458441"
"epm_zea_S0_Leaf_p0m20R_113"	"MA1659.1"	"ABF4"	"1.82988745446647"	"0.00764097397730481"	"9.23029656458422"
"epm_zea_S0_Leaf_p0m06F_578"	"MA1244.1"	"ABR1"	"1.95366390900866"	"3.7348512516789e-05"	"0.0451170031202811"
"epm_zea_S0_Leaf_p0m06R_578"	"MA1244.1"	"ABR1"	"1.95366390900866"	"3.7348512516789e-05"	"0.0451170031202811"
"epm_zea_S0_Leaf_p0m17R_128"	"MA0005.2"	"AG"	"1.848253782685"	"0.00427420828652341"	"5.16324361012027"
"epm_zea_S0_Leaf_p0m17F_128"	"MA0005.2"	"AG"	"1.848253782685"	"0.00427420828652336"	"5.16324361012022"
"epm_zea_S0_Leaf_p0m00F_4125"	"MA1689.1"	"ARF18"	"1.87193531821858"	"0.00184143965386729"	"2.22445910187168"
"epm_zea_S0_Leaf_p1m02R_2039"	"MA1689.1"	"ARF18"	"1.87243549349279"	"0.00180678816417138"	"2.18260010231903"
"epm_zea_S0_Leaf_p0m00R_4125"	"MA1689.1"	"ARF18"	"1.87193531821858"	"0.00184143965386729"	"2.22445910187168"
"epm_zea_S0_Leaf_p1m02F_2039"	"MA1689.1"	"ARF18"	"1.87243549349279"	"0.00180678816417138"	"2.18260010231903"
"epm_zea_S0_Leaf_p0m11R_452"	"MA1222.1"	"AT1G44830"	"1.84564113136627"	"0.00465952362771417"	"5.62870454227872"
"epm_zea_S0_Leaf_p0m11F_452"	"MA1222.1"	"AT1G44830"	"1.84564113136627"	"0.00465952362771417"	"5.62870454227872"
"epm_zea_S0_Leaf_p0m12R_429"	"MA1380.1"	"AT2G20110"	"1.94263638919198"	"7.0149883770375e-05"	"0.0847410595946131"
"epm_zea_S0_Leaf_p0m12F_429"	"MA1380.1"	"AT2G20110"	"1.94263638919198"	"7.01498837703778e-05"	"0.0847410595946164"
"epm_zea_S0_Leaf_p1m04F_954"	"MA1245.2"	"AT2G33710"	"1.95393692976929"	"3.67529206197669e-05"	"0.0443975281086784"
"epm_zea_S0_Leaf_p1m04R_954"	"MA1245.2"	"AT2G33710"	"1.95393692976929"	"3.67529206197661e-05"	"0.0443975281086775"
"epm_zea_S0_Leaf_p1m09F_574"	"MA1662.1"	"AT3G10030"	"1.88371754936346"	"0.00116059348853331"	"1.40199693414824"
"epm_zea_S0_Leaf_p1m09R_574"	"MA1662.1"	"AT3G10030"	"1.88371754936346"	"0.00116059348853331"	"1.40199693414824"
